City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Mataura,NZ,2022-04-09 00:47:17,-46.1927,168.8643,60.26,56,54,6.38,broken clouds
60,Hualmay,PE,2022-04-09 00:47:17,-11.0964,-77.6139,67.77,85,75,5.26,broken clouds
61,Coquimbo,CL,2022-04-09 00:47:18,-29.9533,-71.3436,60.03,87,48,3.6,scattered clouds
62,Ushuaia,AR,2022-04-09 00:42:58,-54.8,-68.3,38.86,81,0,5.75,clear sky
63,Saint George,US,2022-04-09 00:47:19,37.1041,-113.5841,85.24,9,0,0.0,clear sky
64,Paamiut,GL,2022-04-09 00:47:19,61.994,-49.6678,21.88,85,72,13.38,broken clouds
65,Port Lincoln,AU,2022-04-09 00:44:44,-34.7333,135.8667,73.74,49,0,11.41,clear sky
66,Norman Wells,CA,2022-04-09 00:47:20,65.282,-126.8329,41.04,38,75,3.44,broken clouds
67,Shimoda,JP,2022-04-09 00:47:20,34.6667,138.95,66.56,67,0,13.53,clear sky
68,Taltal,CL,2022-04-09 00:47:20,-25.4,-70.4833,65.5,69,2,5.03,clear sky
69,Egvekinot,RU,2022-04-09 00:47:21,66.3167,-179.1667,-5.33,90,100,4.0,overcast clouds
70,Pandan,PH,2022-04-09 00:47:21,14.0453,124.1694,79.92,85,100,10.51,overcast clouds
71,Kapaa,US,2022-04-09 00:47:21,22.0752,-159.319,80.11,75,40,18.41,scattered clouds
72,Olafsvik,IS,2022-04-09 00:47:22,64.8945,-23.7142,33.31,64,100,14.47,overcast clouds
73,Krasnorechenskiy,RU,2022-04-09 00:47:22,44.6265,135.3532,39.18,97,100,2.51,moderate rain
74,Airai,TL,2022-04-09 00:47:22,-8.9266,125.4092,72.28,49,60,2.86,broken clouds
75,Rancho Palos Verdes,US,2022-04-09 00:47:22,33.7445,-118.387,97.72,34,34,5.99,scattered clouds
76,Upernavik,GL,2022-04-09 00:47:23,72.7868,-56.1549,7.75,96,100,4.81,overcast clouds
77,Saint-Philippe,RE,2022-04-09 00:47:23,-21.3585,55.7679,76.59,89,71,10.11,light rain
78,Vanavara,RU,2022-04-09 00:46:49,60.34,102.2797,21.78,87,56,2.73,broken clouds
79,Sur,OM,2022-04-09 00:47:24,22.5667,59.5289,84.85,46,76,3.96,broken clouds
80,Angoche,MZ,2022-04-09 00:47:24,-16.2325,39.9086,75.74,81,36,5.88,scattered clouds
81,Grindavik,IS,2022-04-09 00:45:27,63.8424,-22.4338,30.67,59,0,8.05,clear sky
82,Samarai,PG,2022-04-09 00:47:24,-10.6167,150.6667,82.13,80,100,20.54,overcast clouds
83,Cabo San Lucas,MX,2022-04-09 00:43:42,22.8909,-109.9124,85.3,66,17,9.93,few clouds
84,Victoria Point,AU,2022-04-09 00:47:25,-27.5833,153.3,77.68,92,45,5.01,scattered clouds
85,Tiksi,RU,2022-04-09 00:47:25,71.6872,128.8694,-3.77,100,100,5.03,overcast clouds
86,Anjiang,CN,2022-04-09 00:47:26,27.3194,110.1031,73.2,46,37,2.91,scattered clouds
87,Pimenta Bueno,BR,2022-04-09 00:47:26,-11.6725,-61.1936,74.19,96,91,2.24,overcast clouds
88,Mahebourg,MU,2022-04-09 00:47:26,-20.4081,57.7,76.24,94,75,13.8,broken clouds
89,Souillac,MU,2022-04-09 00:47:27,-20.5167,57.5167,75.58,94,75,13.8,light rain
90,Goure,NE,2022-04-09 00:47:27,13.9835,10.2704,82.26,11,10,6.82,clear sky
91,Arman,RU,2022-04-09 00:47:27,59.7,150.1667,26.02,81,86,3.04,overcast clouds
92,Mangrol,IN,2022-04-09 00:47:28,21.1167,70.1167,80.89,56,0,10.18,clear sky
93,Leningradskiy,RU,2022-04-09 00:47:28,69.3833,178.4167,-4.22,75,97,3.11,overcast clouds
