City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Arraial Do Cabo,BR,76.48,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
301,Ambunti,PG,83.89,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
308,Santa Rosa,PH,85.01,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
314,Camocim,BR,76.73,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
319,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
324,Mogadishu,SO,81.5,broken clouds,2.0371,45.3438,Hotel Juba
328,Luwuk,ID,84.54,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
336,Cienfuegos,CU,78.94,overcast clouds,22.1461,-80.4356,Casa Claumar B2BPay
337,Cozumel,MX,75.94,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
339,Gladstone,AU,75.13,scattered clouds,-23.85,151.25,Highpoint International Hotel
342,Alofi,NU,85.89,few clouds,-19.0595,-169.9187,Taloa Heights
354,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
356,Salalah,OM,78.87,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
357,Vemalwada,IN,79.07,broken clouds,18.4667,78.8833,Hotel Lakshmi Niharika
358,Otukpo,NG,80.71,overcast clouds,7.1913,8.1329,Queen s Hotel
359,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
360,Kavaratti,IN,83.3,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
361,Lufilufi,WS,89.38,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
362,Hambantota,LK,78.13,broken clouds,6.1241,81.1185,Bungalow 63
363,Saint-Leu,RE,76.06,clear sky,-21.15,55.2833,La Caz Oceane
366,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
369,Itarema,BR,76.78,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
382,Humaita,BR,75.38,light rain,-7.5061,-63.0208,Corrêa Hotel
384,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
387,Belmonte,BR,77.38,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
389,Progreso,MX,77.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
391,Tahoua,NE,82.53,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
395,Lorengau,PG,79.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
396,Phonhong,LA,77.94,few clouds,18.5007,102.4166,Manyvong Guest House
397,Takoradi,GH,80.87,overcast clouds,4.8845,-1.7554,Raybow International Hotel
398,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,The Inn At Schofield
399,Sitangkai,PH,82.8,heavy intensity rain,4.6628,119.3928,Ama House
401,Cantagallo,CO,76.37,overcast clouds,7.376,-73.9196,Apartahotel Altamira
403,Ahuimanu,US,80.31,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
406,Morondava,MG,78.33,clear sky,-20.2833,44.2833,La Case Bambou
407,Bubaque,GW,76.59,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
410,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
413,Sassandra,CI,80.1,overcast clouds,4.95,-6.0833,la terrasse
414,Kiunga,PG,84.72,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
421,Puerto Carreno,CO,85.71,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
423,Salinopolis,BR,76.77,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
424,Benjamin Constant,BR,78.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
426,Tautira,PF,81.36,light rain,-17.7333,-149.15,Pension Oaoa
427,Ishigaki,JP,75.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
433,Borazjan,IR,78.85,overcast clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
434,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,DoubleFAG
436,Puerto Baquerizo Moreno,EC,78.6,broken clouds,-0.9,-89.6,Hotel los Algarrobos
439,Tutoia,BR,77.43,overcast clouds,-2.7619,-42.2744,Pousada Guará's
441,Alibag,IN,84.27,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
443,Laguna,US,89.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
444,Casambalangan,PH,77.65,overcast clouds,18.3765,122.1274,Villa Saturnina
445,Japura,ID,76.5,light rain,-0.3167,102.35,Rumah mbah Jamah
449,Taitung,TW,77.27,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
459,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
463,Safford,US,85.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
464,Aquiraz,BR,77.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
470,Kralendijk,BQ,78.78,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
479,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
482,Mahibadhoo,MV,83.88,broken clouds,3.7833,72.9667,Omadhoo Inn
487,Wukari,NG,78.42,overcast clouds,7.85,9.7833,Elimtop
488,Tabuk,PH,78.08,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
490,Daru,PG,84.83,scattered clouds,-9.0763,143.2092,Daru Lodge
495,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
496,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
498,Kangaba,ML,86.9,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
504,Lhokseumawe,ID,78.53,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
505,Vanimo,PG,82.27,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
507,Turbat,PK,78.01,overcast clouds,26.0023,63.044,Mubashar Quarters
508,Maragogi,BR,78.21,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
511,Jaisalmer,IN,80.98,clear sky,26.9147,70.9181,Hotel Fifu
